numMC,PL,callday, maxloss,,-0.11%,0.864%
204,-0.00646083,548,-0.00726607,,,
205,-0.00119176,183,-0.00160262,,,
206,0.0158401,913,-0.00139715,,,
207,-0.0174535,183,-0.0174535,,,
208,0.00178607,183,-0.000616066,,,
209,-0.00661318,1097,-0.0105842,,,
210,0.00306832,183,0,,,
211,0.00179041,367,-0.000899654,,,
212,0.0052575,183,-0.000497055,,,
213,0.0117043,913,-0.010634,,,
214,-0.00149331,183,-0.00187073,,,
215,0.00160429,183,-0.000544411,,,
216,-0.00166965,183,-0.00414448,,,
217,0.000132765,183,-0.000750243,,,
218,-0.00182848,183,-0.00218481,,,
219,-0.00304106,183,-0.00363258,,,
220,-0.000477763,183,-0.00115457,,,
221,-0.0110727,1097,-0.011528,,,
222,-0.0240226,183,-0.0240226,,,
223,-0.0217307,183,-0.0217307,,,
224,0.00287395,183,-0.000382483,,,
225,0.0348632,1097,-0.00124873,,,
226,-0.00240085,183,-0.00534019,,,
227,-0.00366544,183,-0.00432234,,,
228,-0.000611708,183,-0.000863338,,,
229,0.00207868,183,-0.00402344,,,
230,-0.000436437,183,-0.000819678,,,
231,-0.0058623,183,-0.00687366,,,
232,0.00298632,183,-0.000486028,,,
233,-0.00143665,183,-0.00154704,,,
234,-0.000277567,548,-0.00201584,,,
235,-0.000983813,183,-0.00361861,,,
236,-0.000422442,183,-0.00128567,,,
237,0.00186325,183,-0.000410765,,,
238,-0.00274369,367,-0.00488366,,,
239,0.0159473,1097,-0.00045848,,,
240,-0.00247971,183,-0.00653244,,,
241,-0.00241481,183,-0.00269894,,,
242,-0.000771898,183,-0.00116234,,,
243,-0.0198088,913,-0.0213167,,,
244,-0.000198634,183,-0.00156132,,,
245,-0.00377781,367,-0.00377781,,,
246,0.0019639,183,-0.000369658,,,
247,-0.00274317,183,-0.00274317,,,
248,-0.00220958,183,-0.00277917,,,
249,0.00183269,183,-0.000116543,,,
250,0.00089627,183,-0.000226376,,,
251,-0.00240385,183,-0.00271428,,,
252,-0.00092528,183,-0.0018639,,,
253,8.07E-05,183,-0.00298289,,,
254,0.00520817,1097,-0.00328071,,,
255,0.0167966,1097,-0.00665271,,,
256,0.00104599,367,-0.00369067,,,
257,-0.0073758,183,-0.0073758,,,
258,0.00051436,1097,-0.0020355,,,
259,0.000160709,183,-0.00043265,,,
260,-0.00012847,183,-0.00177256,,,
261,0.00430257,183,-0.000939235,,,
262,-0.0097857,183,-0.0097857,,,
263,-0.0105822,732,-0.0117734,,,
264,-0.0013461,183,-0.00213198,,,
265,-0.00214807,183,-0.00272319,,,
266,0.00784448,183,-0.00815937,,,
267,-0.0208096,183,-0.0208096,,,
268,0.00419181,183,-0.00172819,,,
269,0.0086662,732,-0.000537988,,,
270,-0.00232099,183,-0.00866559,,,
271,0.00175374,183,-0.000896954,,,
272,0.00138982,183,-0.00051905,,,
273,-0.00179449,367,-0.00461235,,,
274,-0.0112841,548,-0.0112841,,,
275,0.00907415,183,-0.000801954,,,
276,-0.00927204,183,-0.01074,,,
277,0.000632269,183,-0.000253782,,,
